"URL","HTTP","Раздел","Роль","Полезность_для_SEO","Приоритет","Готовность_не_ИКС","Вывод","Запросы","Базовая_частотность_не_суммировать","Статус_спроса","Sitemap","Входящие","Входящие_контент","Битые_ссылки","Ближайший_текст","Сходство","Основной_URL_кандидат","Действия","Визуальная_проверка","Источник"
"https://zakazminivena.ru/","200","Главная","Ядро-кандидат","Высокая потенциальная","P1","97","Сильная отправная точка: понятная услуга, калькулятор и зелёный акцент. На 390 px кнопка расчёта ниже первого экрана, виджет чата перекрывает поля.","заказать минивэн | Заказать минивэн с водителем межгород и аэропорт | на минивэне","5689","Измерена базовая фраза","true","307","307","","","0","","Развести заголовки по реальным намерениям или устранить подтверждённый дубль. | Добавить интерактивный выбор числа и размера вещей с подтверждением компоновки. | Сжать мобильный первый экран и поставить интерактивный выбор поездки выше; проверить происхождение рейтинга и 2 000 отзывов в разметке.","Просмотрен начальный мобильный экран этого URL","evidence/pages/3a9b13bd995116fc.json"
"https://zakazminivena.ru/routes","200","Межгород","Ядро-кандидат","Высокая потенциальная","P2","100","Каталог полезен как навигационный узел; приоритет — выбор и связи, а не увеличение объёма текста.","","","Гипотеза — проверить","true","74","74","","/routes/moskva-tula","0.017","","","Отдельно не просмотрен","evidence/pages/ead1cfdfd275c333.json"
"https://zakazminivena.ru/cities","200","Города","Ядро-кандидат","Высокая потенциальная","P2","84","Каталог полезен как навигационный узел; приоритет — выбор и связи, а не увеличение объёма текста.","","","Гипотеза — проверить","true","18","18","","/cities/sochi","0.008","","","Отдельно не просмотрен","evidence/pages/19c8fcae53d727d4.json"
"https://zakazminivena.ru/airports","200","Старые аэропорты","Расширение","Средняя / второй этап","P2","100","Каталог полезен как навигационный узел; приоритет — выбор и связи, а не увеличение объёма текста.","","","Гипотеза — проверить","true","12","12","","/airports/kurumoch","0.023","","Проверить актуальные рейсы, точки встречи и фактическую доступность подачи перед рекламой.","Отдельно не просмотрен","evidence/pages/6d82ab5b36ae1171.json"
"https://zakazminivena.ru/tariffs","200","Доверие и сервис","Расширение","Средняя / второй этап","P2","86","Страница «Тарифы на минивэн с водителем» требует привязки к самостоятельной задаче и доступной услуге.","Тарифы на минивэн с водителем","","Гипотеза — проверить","true","1","1","","","0","","Дать встроенный подбор/форму или явный переход с сохранением параметров поездки. | Добавить интерактивный выбор числа и размера вещей с подтверждением компоновки.","Отдельно не просмотрен","evidence/pages/786c49605da1c4f2.json"
"https://zakazminivena.ru/b2b","200","Для бизнеса","Расширение","Средняя / второй этап","P2","85","Страница «Минивэн для бизнеса» требует привязки к самостоятельной задаче и доступной услуге.","Минивэн для бизнеса","","Гипотеза — проверить","true","263","263","","/b2b/corporate-transport","0.188","","Дать встроенный подбор/форму или явный переход с сохранением параметров поездки. | Добавить интерактивный выбор числа и размера вещей с подтверждением компоновки.","Отдельно не просмотрен","evidence/pages/5654ca9618704555.json"
"https://zakazminivena.ru/b2b/cases","200","Для бизнеса","Расширение","Средняя / второй этап","P2","92","Каталог полезен как навигационный узел; приоритет — выбор и связи, а не увеличение объёма текста.","","","Гипотеза — проверить","true","9","9","","/b2b","0.038","","","Отдельно не просмотрен","evidence/pages/f998cdbcace4e029.json"
"https://zakazminivena.ru/about","200","Доверие и сервис","Доверие","Косвенная: доверие","P3","95","Нужна для доверия; оценка содержания не подтверждает подлинность опубликованных отзывов, кейсов и обещаний.","","","Не требуется отдельный SEO-кластер","true","0","0","","","0","","Добавить релевантные доступные ссылки из каталога и связанных страниц.","Отдельно не просмотрен","evidence/pages/dc7123087723d5dc.json"
"https://zakazminivena.ru/offer","200","Доверие и сервис","Доверие","Косвенная: доверие","P3","100","Нужна для доверия; оценка содержания не подтверждает подлинность опубликованных отзывов, кейсов и обещаний.","","","Не требуется отдельный SEO-кластер","true","307","1","","","0","","","Просмотрен начальный мобильный экран этого URL","evidence/pages/709d28722807b0e8.json"
"https://zakazminivena.ru/privacy","200","Доверие и сервис","Доверие","Косвенная: доверие","P3","100","Нужна для доверия; оценка содержания не подтверждает подлинность опубликованных отзывов, кейсов и обещаний.","","","Не требуется отдельный SEO-кластер","true","307","2","","","0","","","Отдельно не просмотрен","evidence/pages/552220bd88d68488.json"
